"","site","period","Model","Bias_adjust","TX","GWL","prob_occ","prop_change"
"115","lowl","g3g4","CORDEX Europe",TRUE,35,4,0.672118916437067,1.97520661157025
"116","lowl","g3g4","CORDEX Europe",TRUE,40,1,0.0416666666666668,1
"117","lowl","g3g4","CORDEX Europe",TRUE,40,1.5,0.0526315789473686,1.26315789473684
"118","lowl","g3g4","CORDEX Europe",TRUE,40,2,0.0657894736842107,1.57894736842105
"119","lowl","g3g4","CORDEX Europe",TRUE,40,3,0.0921052631578951,2.21052631578947
"120","lowl","g3g4","CORDEX Europe",TRUE,40,4,0.117324561403509,2.81578947368421
"121","mide","g1g2","CMIP6",FALSE,35,1,0.0414878397711018,1
"122","mide","g1g2","CMIP6",FALSE,35,1.5,0.0491707730620466,1.18518518518519
"123","mide","g1g2","CMIP6",FALSE,35,2,0.0568537063529914,1.37037037037037
"124","mide","g1g2","CMIP6",FALSE,35,3,0.0745244529221643,1.7962962962963
"125","mide","g1g2","CMIP6",FALSE,35,4,0.0845122662003926,2.03703703703704
"126","mide","g1g2","CMIP6",FALSE,40,1,0.0171673819742527,1
"127","mide","g1g2","CMIP6",FALSE,40,1.5,0.025751072961379,1.5
"128","mide","g1g2","CMIP6",FALSE,40,2,0.0343347639485054,2
"129","mide","g1g2","CMIP6",FALSE,40,3,0.0549356223176086,3.2
"130","mide","g1g2","CMIP6",FALSE,40,4,0.0841201716738382,4.9
"131","mide","g1g2","CMIP6",TRUE,35,1,0.0414878397711018,1
"132","mide","g1g2","CMIP6",TRUE,35,1.5,0.0538459197029194,1.29787234042553
"133","mide","g1g2","CMIP6",TRUE,35,2,0.0644385596444773,1.5531914893617
"134","mide","g1g2","CMIP6",TRUE,35,3,0.0829756795422036,2
"135","mide","g1g2","CMIP6",TRUE,35,4,0.106809119410709,2.57446808510638
"136","mide","g1g2","CMIP6",TRUE,40,1,0.0171673819742527,1
"137","mide","g1g2","CMIP6",TRUE,40,1.5,0.024320457796858,1.41666666666667
"138","mide","g1g2","CMIP6",TRUE,40,2,0.0314735336194633,1.83333333333333
"139","mide","g1g2","CMIP6",TRUE,40,3,0.0457796852646739,2.66666666666667
"140","mide","g1g2","CMIP6",TRUE,40,4,0.0643776824034476,3.75
"141","mide","g1g2","CORDEX Europe",FALSE,35,1,0.0414878397711018,1
"142","mide","g1g2","CORDEX Europe",FALSE,35,1.5,0.0465473324261142,1.1219512195122
"143","mide","g1g2","CORDEX Europe",FALSE,35,2,0.0556544192051366,1.34146341463415
"144","mide","g1g2","CORDEX Europe",FALSE,35,3,0.0758923898251862,1.82926829268293
"145","mide","g1g2","CORDEX Europe",FALSE,35,4,0.0890470707282185,2.14634146341463
"146","mide","g1g2","CORDEX Europe",FALSE,40,1,0.0171673819742527,1
"147","mide","g1g2","CORDEX Europe",FALSE,40,1.5,0.0236051502145975,1.375
"148","mide","g1g2","CORDEX Europe",FALSE,40,2,0.0300429184549422,1.75
"149","mide","g1g2","CORDEX Europe",FALSE,40,3,0.0536480686695397,3.125
"150","mide","g1g2","CORDEX Europe",FALSE,40,4,0.0665236051502292,3.875
"151","mide","g1g2","CORDEX Europe",TRUE,35,1,0.0414878397711018,1
"152","mide","g1g2","CORDEX Europe",TRUE,35,1.5,0.0503150397224001,1.21276595744681
"153","mide","g1g2","CORDEX Europe",TRUE,35,2,0.0591422396736983,1.42553191489362
"154","mide","g1g2","CORDEX Europe",TRUE,35,3,0.0767966395762948,1.85106382978723
"155","mide","g1g2","CORDEX Europe",TRUE,35,4,0.0953337594740212,2.29787234042553
"156","mide","g1g2","CORDEX Europe",TRUE,40,1,0.0171673819742527,1
